snapshot_date,mean_nc_ret,mean_other_ret,n_nc,n_other,cum_nc_ret,cum_other_ret
2021-06-01,0.053841,0.109191,63,424,0.053841,0.109191
2021-07-01,0.039629,0.025776,63,424,0.095604,0.137781
2021-08-01,0.029174,-0.013546,63,425,0.127567,0.122369
2021-09-01,0.064099,0.058566,63,425,0.199844,0.188102
2021-10-01,-0.129875,-0.061461,63,425,0.044014,0.115080
2021-11-01,-0.062656,-0.034016,63,425,-0.021400,0.077149
2021-12-01,-0.233096,-0.169320,64,425,-0.249508,-0.105234
2022-01-01,-0.127058,-0.052533,64,425,-0.344864,-0.152238
2022-02-01,-0.156020,-0.059771,64,426,-0.447078,-0.202910
2022-03-01,-0.259456,-0.170578,64,426,-0.590537,-0.338875
2022-04-01,-0.047002,-0.027282,64,426,-0.609783,-0.356912
2022-05-01,-0.035669,0.035360,64,426,-0.623701,-0.334173
2022-06-01,0.013786,0.076289,64,426,-0.618513,-0.283377
2022-07-01,0.045539,0.051458,64,426,-0.601141,-0.246501
2022-08-01,0.026738,0.052677,64,426,-0.590476,-0.206809
2022-09-01,0.098282,0.170272,64,426,-0.550227,-0.071751
2022-10-01,-0.061102,0.078360,64,426,-0.577709,0.000986
2022-11-01,-0.083173,-0.006555,64,426,-0.612832,-0.005576
2022-12-01,0.155960,0.139953,64,426,-0.552450,0.133596
2023-01-01,0.099039,0.098124,64,427,-0.508125,0.244829
2023-02-01,0.031972,0.097671,64,427,-0.492398,0.366413
2023-03-01,0.007641,0.035871,64,427,-0.488520,0.415427
2023-04-01,-0.031618,-0.004789,64,427,-0.504692,0.408649
2023-05-01,0.081107,0.104410,64,427,-0.464519,0.555726
2023-06-01,0.105455,0.087866,64,428,-0.408050,0.692422
2023-07-01,-0.038375,0.048859,64,428,-0.430766,0.775113
2023-08-01,0.059026,0.135470,64,428,-0.397166,1.015587
2023-09-01,0.177550,0.241656,64,428,-0.290133,1.502665
2023-10-01,0.204060,0.229737,64,428,-0.145278,2.077619
2023-11-01,0.132398,0.151372,64,429,-0.032114,2.543486
2023-12-01,-0.001929,0.084347,64,429,-0.033982,2.842367
2024-01-01,0.073732,0.127440,64,429,0.037244,3.332039
2024-02-01,0.049796,0.108622,64,429,0.088895,3.802593
2024-03-01,0.034476,0.091439,64,429,0.126436,4.241736
2024-04-01,0.107851,0.129940,65,430,0.247923,4.922849
2024-05-01,0.192503,0.183180,65,430,0.488152,6.007799
2024-06-01,0.148097,0.101003,65,430,0.708542,6.715606
2024-07-01,0.174629,0.100841,65,430,1.006904,7.493653
2024-08-01,0.122602,0.054747,65,430,1.252953,7.958654
2024-09-01,-0.022120,-0.016360,65,430,1.203119,7.812086
2024-10-01,-0.056010,-0.015244,65,430,1.079723,7.677759
2024-11-01,-0.071710,-0.038644,65,430,0.930586,7.342417
2024-12-01,0.063648,0.063039,65,430,1.053465,7.868311
2025-01-01,0.070160,0.035579,65,430,1.197535,8.183839
2025-02-01,0.170229,0.066115,65,430,1.571620,8.791025
2025-03-01,0.361939,0.138231,65,431,2.502388,10.144448
2025-04-01,0.455737,0.158166,65,431,4.098555,11.907123
2025-05-01,0.340859,0.119883,65,431,5.836446,13.454473
2025-06-01,0.238741,0.081660,65,431,7.468585,14.634830
2025-07-01,0.205667,0.122420,65,431,9.210293,16.548845
2025-08-01,0.132228,0.133060,65,431,10.560382,18.883896
2025-09-01,0.054599,0.032486,65,431,11.191568,19.529853
2025-10-01,0.125726,0.098592,65,431,12.724361,21.553941
2025-11-01,0.164272,0.074814,65,431,14.978887,23.241303
